SETTINGS_PAGE_GENERAL_HEADER_LANG	Sprache
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	Auswahl
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	Debug
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	Screenshot

SETTINGS_PAGE_GENERAL_GIZMOSIZE	Größenmultiplikator
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	Umrissbreite
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	Umrissfarbe
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	Leistungsfenster umschalten
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	Datenobjektkomprimierung umschalten

SETTINGS_PAGE_GENERAL_SS_FORMAT	Datumsformat
SETTINGS_PAGE_GENERAL_SS_ALPHA	Transparenz umschalten
SETTINGS_PAGE_GENERAL_SS_UPSCALE	Hochskalieren

SETTINGS_PAGE_GENERAL_SS_NONE	Nicht hochskalieren
SETTINGS_PAGE_GENERAL_SS_TWO	2x hochskalieren
SETTINGS_PAGE_GENERAL_SS_FOUR	4x hochskalieren
SETTINGS_PAGE_GENERAL_SS_EIGHT	8x hochskalieren
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI
SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	Animationsgeschwindigkeit
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPLEFT	Oben links
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPCENTER	Oben Mitte
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPRIGHT	Oben rechts
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLELEFT	Mitte links
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLECENTER	Mitte Mitte
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLERIGHT	Mitte rechts
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMLEFT	Unten links
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMCENTER	Unten Mitte
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMRIGHT	Unten rechts
SETTINGS_PAGE_GENERAL_DEVMODE	Toggle Developer Mode
SETTINGS_PAGE_GENERAL_ALLOWSCRIPTEDMODS	Allow Mods with Custom Code (Restart required, potentially dangerous)
